Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,424.470311,0,0,0,false,0.3333333333333333,14 hours ago,false,3870,4659666,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,app.slack.com,0.963,false,3203.4638480000003,0,0,0,false,0.3333333333333333,14 hours ago,false,15,100645,"443:tcp:ssl","rare_signature:dde4c0b7f6944692d4caae87619debe5"
High,192.168.2.19,1.1.1.1,,1,false,36.05543400000001,0,0,0,false,0.16666666666666666,14 hours ago,false,7380,3852360,"53:udp:dns",""
High,192.168.2.19,185.125.190.58,,1,false,2.1607930000000004,0,0,0,false,0.16666666666666666,14 hours ago,false,27,6156,"123:udp:ntp",""
High,192.168.2.82,::,ecs.office.com,0.983,false,989.6031910000002,0,0,0,false,0.6666666666666666,14 hours ago,false,15,128027,"443:tcp:ssl","rare_signature:258a5a1e95b8a911872bae9081526644"
High,192.168.2.77,64.23.195.234,,0,false,36000.706365,0.700009810625,0,0,false,0.4,1 day ago,false,0,10137665,"9200:tcp:ssl",""
High,192.168.2.19,::,www.expressapisv2.net,0.828,false,31.468937999999998,0,0,0,false,0.3333333333333333,14 hours ago,false,270,6540973,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.77,::,edge.microsoft.com,0.808,false,2932.1299289999997,0,0,0,false,0.3333333333333333,14 hours ago,false,22,283256,"443:tcp:ssl","rare_signature:378e4bfdccad6a05555a750ba14ed099"
High,192.168.2.77,::,weathersync.cloud,0.91,false,1202.5476329999997,0,0,0,false,0.3333333333333333,14 hours ago,false,862,977624,"80:tcp:http",""
High,192.168.2.79,::,ecs.office.com,0.984,false,1013.892859,0,0,0,false,0.6666666666666666,14 hours ago,false,15,135492,"443:tcp:ssl",""
Medium,192.168.2.77,::,timeserversync.com,0.856,false,1604.7766250000002,0,0,0,false,0.3333333333333333,14 hours ago,false,916,1040788,"80:tcp:http",""
Medium,192.168.2.19,64.23.195.234,,0.854,false,88.45354599999997,0,0,0,false,0.3333333333333333,14 hours ago,false,45,7044562,"22:tcp:ssh",""
Medium,192.168.2.79,::,v10.events.data.microsoft.com,0.932,false,33.168493999999995,0,0,0,false,0.6666666666666666,14 hours ago,false,37,355973,"443:tcp:ssl",""
Medium,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.802,false,5948.182853,0.24348486764814814,0,0,false,0.3333333333333333,14 hours ago,false,55,297699,"443:tcp:ssl",""
Medium,192.168.2.82,::,ctldl.windowsupdate.com,0.76,false,1802.433304,0,0,0,false,0.6666666666666666,14 hours ago,false,30,35083,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.82,::,mobile.events.data.microsoft.com,0.744,false,3348.0996280000004,0,0,0,false,0.6666666666666666,14 hours ago,false,41,397257,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
Medium,192.168.2.79,::,mobile.events.data.microsoft.com,0.742,false,3302.473059,0,0,0,false,0.6666666666666666,14 hours ago,false,49,476248,"443:tcp:ssl","rare_signature:1904ac991fe39a5a5e11e19bc4332f77"
Medium,192.168.2.82,::,v10.events.data.microsoft.com,0.884,false,20.54649,0,0,0,false,0.6666666666666666,14 hours ago,false,39,366813,"443:tcp:ssl",""
Medium,192.168.2.79,::,ctldl.windowsupdate.com,0.734,false,1863.332534,0,0,0,false,0.6666666666666666,14 hours ago,false,31,36999,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.77,::,v10.events.data.microsoft.com,0.878,false,23.476667,0,0,0,false,0.6666666666666666,14 hours ago,false,45,366395,"443:tcp:ssl",""
Low,192.168.2.77,207.164.234.193,,0.69,false,1.3090359999999999,0,0,0,false,0.16666666666666666,14 hours ago,false,41,5700,"icmp:3/3,53:udp:dns",""
Low,192.168.2.77,::,ctldl.windowsupdate.com,0.817,false,1360.3690780000002,0,0,0,false,0.6666666666666666,14 hours ago,false,22,31226,"80:tcp:http",""
Low,192.168.2.82,::,settings-win.data.microsoft.com,0.769,false,25.845064999999998,0,0,0,false,0.6666666666666666,14 hours ago,false,41,310246,"443:tcp:ssl",""
Low,192.168.2.77,::,settings-win.data.microsoft.com,0.762,false,18.976541,0,0,0,false,0.6666666666666666,13 hours ago,false,29,205952,"443:tcp:ssl",""
Low,192.168.2.79,::,settings-win.data.microsoft.com,0.655,false,30.784554,0,0,0,false,0.6666666666666666,14 hours ago,false,37,472698,"443:tcp:ssl",""
None,192.168.2.82,::,1d.tlu.dl.delivery.mp.microsoft.com,0.381,false,531.623572,0,0,0,false,0.3333333333333333,20 hours ago,false,31,38941301,"80:tcp:http","mime_type_mismatch:12"
None,192.168.2.82,151.101.46.172,,0.558,false,516.3344890000001,0,0,0,false,0.5,13 hours ago,false,9,12212,"80:tcp:http,icmp:8/0",""
None,192.168.2.82,204.79.197.200,,0.475,false,299.600676,0,0,0,false,0.16666666666666666,12 hours ago,false,5,9660,"icmp:8/0",""
None,192.168.2.77,::,c.pki.goog,0.445,false,300.196888,0,0,0,false,0.3333333333333333,12 hours ago,false,5,4243,"80:tcp:http",""
None,192.168.2.77,::,arc.msn.com,0.428,false,2.1383010000000002,0,0,0,false,0.3333333333333333,14 hours ago,false,4,50614,"443:tcp:ssl",""
None,192.168.2.82,146.75.94.172,,0.409,false,337.873287,0,0,0,false,0.3333333333333333,14 hours ago,false,7,2859981,"80:tcp:http,icmp:8/0",""
None,192.168.2.77,192.229.211.108,,0.391,false,180.318859,0,0,0,false,0.16666666666666666,20 hours ago,false,4,5362,"80:tcp:http",""
None,192.168.2.77,::,www.bing.com,0.384,false,300.785921,0,0,0,false,0.3333333333333333,13 hours ago,false,5,47949,"443:tcp:ssl",""
None,192.168.2.77,::,aka.ms,0.366,false,0.909694,0,0,0,false,0.3333333333333333,17 hours ago,false,4,25292,"443:tcp:ssl",""
None,192.168.2.77,72.21.81.200,,0.327,false,891.827335,0,0,0,false,0.16666666666666666,22 hours ago,false,12,131927,"443:tcp:ssl,80:tcp:http",""
None,192.168.2.77,::,g.live.com,0.309,false,365.34566900000004,0,0,0,false,0.3333333333333333,14 hours ago,false,4,35081,"443:tcp:ssl",""
None,192.168.2.77,::,oneclient.sfx.ms,0.291,false,439.44472,0,0,0,false,0.3333333333333333,14 hours ago,false,4,387522,"443:tcp:ssl",""
None,192.168.2.77,::,go.microsoft.com,0.263,false,416.18926899999997,0,0,0,false,0.3333333333333333,17 hours ago,false,5,30529,"443:tcp:ssl",""
None,192.168.2.77,::,download.visualstudio.microsoft.com,0.263,false,414.77126699999997,0,0,0,false,0.3333333333333333,17 hours ago,false,5,41067,"443:tcp:ssl",""
None,192.168.2.77,::,az667904.vo.msecnd.net,0.263,false,436.681783,0,0,0,false,0.3333333333333333,17 hours ago,false,5,86742,"443:tcp:ssl",""
None,192.168.2.77,::,g.bing.com,0.263,false,3.150848,0,0,0,false,0.3333333333333333,20 hours ago,false,4,42990,"443:tcp:ssl",""
