Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,58.383274,0,0,0,false,0.4,1 hour ago,false,516,620596,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,143.198.3.13,0.975,false,467.14691899999985,0,0,0,false,0.2,1 hour ago,false,815,944305,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
High,192.168.2.19,1.1.1.1,,1,false,4.7367969999999975,0,0,0,false,0.2,1 hour ago,false,982,512604,"53:udp:dns",""
High,192.168.2.79,52.226.139.180,,0,false,50459.562004,0.8,0,0,false,0.4,15 hours ago,false,0,340714,"443:tcp:ssl",""
High,192.168.2.19,::,www.expressapisv2.net,0.805,false,4.352429000000001,0,0,0,false,0.4,1 hour ago,false,36,951301,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
Low,192.168.2.19,185.125.190.58,,0.5,false,0.320081,0,0,0,false,0.2,1 hour ago,false,4,912,"123:udp:ntp",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.313,false,427.843304,0,0,0,false,0.6,1 hour ago,false,6,58962,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
None,192.168.2.19,64.23.195.234,,0.246,false,11.424239,0,0,0,false,0.4,1 hour ago,false,6,1073376,"22:tcp:ssh",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.387,false,2.322837,0,0,0,false,0.8,1 hour ago,false,4,38032,"443:tcp:ssl",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.371,false,418.594562,0,0,0,false,0.6,1 hour ago,false,7,68668,"443:tcp:ssl",""
None,192.168.2.82,::,v10.events.data.microsoft.com,0.351,false,3.463641,0,0,0,false,0.8,1 hour ago,false,4,37876,"443:tcp:ssl",""
None,192.168.2.77,::,v10.events.data.microsoft.com,0.331,false,3.9814890000000003,0,0,0,false,0.8,1 hour ago,false,6,49453,"443:tcp:ssl",""
None,192.168.2.79,::,settings-win.data.microsoft.com,0.305,false,3.4633059999999998,0,0,0,false,0.8,1 hour ago,false,6,43833,"443:tcp:ssl",""
None,192.168.2.77,::,settings-win.data.microsoft.com,0.286,false,2.7923479999999996,0,0,0,false,0.8,1 hour ago,false,4,26818,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.166,false,10.148964000000001,0,0,0,false,0.8,1 hour ago,false,10,138470,"443:tcp:ssl",""
