Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,56.27474000000001,0,0,0,false,0.4,1 hour ago,false,516,622112,"80:tcp:http","rare_signature:Go-http-client/1.1"
High,192.168.2.19,1.1.1.1,,1,false,4.8179770000000035,0,0,0,false,0.2,1 hour ago,false,984,513648,"53:udp:dns",""
High,192.168.2.19,::,www.expressapisv2.net,0.806,false,4.110295000000001,0,0,0,false,0.4,1 hour ago,false,36,713160,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.911,false,1615.9962890000002,0,0,0,false,0.4,1 hour ago,false,14,75402,"443:tcp:ssl",""
High,192.168.2.77,::,timeserversync.com,0.901,false,323.73889699999995,0,0,0,false,0.2,1 hour ago,false,127,144611,"80:tcp:http",""
Medium,192.168.2.77,::,weathersync.cloud,0.879,false,155.845255,0,0,0,false,0.4,1 hour ago,false,110,124720,"80:tcp:http",""
None,192.168.2.77,::,edge.microsoft.com,0.34,false,496.983991,0,0,0,false,0.4,1 hour ago,false,4,40148,"443:tcp:ssl","rare_signature:6f9664d97b7c6f2fa8c575258fa84aed"
None,192.168.2.19,64.23.195.234,,0.37,false,12.02099,0,0,0,false,0.4,1 hour ago,false,6,936948,"22:tcp:ssh",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.337,false,428.50285199999996,0,0,0,false,0.6,1 hour ago,false,6,59009,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
None,192.168.2.79,::,ctldl.windowsupdate.com,0.333,false,240.607872,0,0,0,false,0.8,1 hour ago,false,4,5151,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
None,192.168.2.82,::,ctldl.windowsupdate.com,0.285,false,240.248177,0,0,0,false,0.8,1 hour ago,false,4,4458,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
None,192.168.2.82,::,v10.events.data.microsoft.com,0.478,false,1.363264,0,0,0,false,0.8,1 hour ago,false,4,34271,"443:tcp:ssl",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.441,false,6.139949,0,0,0,false,0.8,1 hour ago,false,4,38818,"443:tcp:ssl",""
None,192.168.2.79,::,settings-win.data.microsoft.com,0.419,false,15.746720999999999,0,0,0,false,0.8,1 hour ago,false,15,111875,"443:tcp:ssl",""
None,192.168.2.77,::,v10.events.data.microsoft.com,0.316,false,2.50568,0,0,0,false,0.8,1 hour ago,false,6,47341,"443:tcp:ssl",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.272,false,421.05732900000004,0,0,0,false,0.6,1 hour ago,false,7,70541,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.258,false,2.626293,0,0,0,false,0.8,1 hour ago,false,5,53680,"443:tcp:ssl",""
