Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,252.711199,0,0,0,false,0.3333333333333333,8 hours ago,false,2322,2798548,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,143.198.3.13,0.986,false,1327.746489,0,0,0,false,0.16666666666666666,8 hours ago,false,3679,4258313,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
High,192.168.2.19,1.1.1.1,,1,false,20.901292,0,0,0,false,0.16666666666666666,8 hours ago,false,4428,2311416,"53:udp:dns",""
High,192.168.2.77,52.226.139.185,,0,false,57780.863983,0.8,0,0,false,0.16666666666666666,1 day ago,false,0,75644,"443:tcp:ssl",""
High,192.168.2.77,64.23.195.234,,0,false,57601.118565,0.8,0,0,false,0.3333333333333333,1 day ago,false,0,31247509,"9200:tcp:ssl",""
High,192.168.2.79,52.226.139.121,,0,false,162093.567167,0.8,0,0,false,0.14285714285714285,2 days ago,false,1,1085550,"443:tcp:ssl,443:tcp:",""
High,192.168.2.19,185.125.190.58,,0.987,false,1.284579,0,0,0,false,0.16666666666666666,8 hours ago,false,16,3648,"123:udp:ntp",""
High,192.168.2.77,::,edge.microsoft.com,0.86,false,1744.756728,0,0,0,false,0.3333333333333333,8 hours ago,false,17,230210,"443:tcp:ssl","rare_signature:42ad52e0e7f721270419077a6e8a0869"
High,192.168.2.19,::,www.expressapisv2.net,0.829,false,20.175421999999998,0,0,0,false,0.3333333333333333,8 hours ago,false,162,3879084,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
Medium,192.168.2.82,::,mobile.events.data.microsoft.com,0.86,false,2029.4103319999997,0,0,0,false,0.6666666666666666,8 hours ago,false,29,284475,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
Medium,192.168.2.79,::,ctldl.windowsupdate.com,0.823,false,1020.9973029999999,0,0,0,false,0.6666666666666666,8 hours ago,false,17,21262,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.77,::,v10.events.data.microsoft.com,0.928,false,11.935544999999998,0,0,0,false,0.6666666666666666,8 hours ago,false,21,172826,"443:tcp:ssl",""
Medium,192.168.2.77,::,app.slack.com,0.642,false,1951.575153,0,0,0,false,0.3333333333333333,8 hours ago,false,9,60675,"443:tcp:ssl","rare_signature:4db042aff3ba5c6f363422e295bb4632"
Medium,192.168.2.79,52.226.139.180,,0,false,18059.57674,0.4508274547222222,0,0,false,0.3333333333333333,13 hours ago,false,0,126869,"443:tcp:ssl",""
Medium,192.168.2.82,::,ctldl.windowsupdate.com,0.75,false,1081.8804890000001,0,0,0,false,0.6666666666666666,8 hours ago,false,18,20832,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.82,::,ecs.office.com,0.723,false,598.1733859999999,0,0,0,false,0.6666666666666666,8 hours ago,false,9,81539,"443:tcp:ssl","rare_signature:258a5a1e95b8a911872bae9081526644"
Low,192.168.2.79,::,v10.events.data.microsoft.com,0.786,false,12.791139999999999,0,0,0,false,0.6666666666666666,8 hours ago,false,24,232953,"443:tcp:ssl",""
Low,192.168.2.77,::,ctldl.windowsupdate.com,0.768,false,720.610583,0,0,0,false,0.6666666666666666,8 hours ago,false,12,17840,"80:tcp:http",""
Low,192.168.2.79,::,mobile.events.data.microsoft.com,0.761,false,1990.6656819999998,0,0,0,false,0.6666666666666666,8 hours ago,false,35,346718,"443:tcp:ssl",""
Low,192.168.2.79,::,settings-win.data.microsoft.com,0.741,false,20.901957,0,0,0,false,0.6666666666666666,8 hours ago,false,24,177705,"443:tcp:ssl",""
Low,192.168.2.82,::,v10.events.data.microsoft.com,0.734,false,20.383747,0,0,0,false,0.6666666666666666,8 hours ago,false,36,344483,"443:tcp:ssl",""
Low,192.168.2.79,::,ecs.office.com,0.723,false,596.525286,0,0,0,false,0.6666666666666666,8 hours ago,false,9,93956,"443:tcp:ssl",""
Low,192.168.2.19,64.23.195.234,,0.53,false,55.564532,0,0,0,false,0.3333333333333333,8 hours ago,false,27,4517622,"22:tcp:ssh",""
Low,192.168.2.82,::,settings-win.data.microsoft.com,0.677,false,18.388468,0,0,0,false,0.6666666666666666,8 hours ago,false,26,191363,"443:tcp:ssl",""
Low,192.168.2.77,207.164.234.193,,0.509,false,0.087882,0,0,0,false,0.3333333333333333,7 hours ago,false,9,1862,"icmp:3/3,53:udp:dns",""
Low,192.168.2.77,::,aka.ms,0.5,false,1.872726,0,0,0,false,0.3333333333333333,23 hours ago,false,4,25292,"443:tcp:ssl",""
Low,192.168.2.77,::,go.microsoft.com,0.5,false,400.466679,0,0,0,false,0.3333333333333333,23 hours ago,false,4,24616,"443:tcp:ssl",""
Low,192.168.2.77,::,visualstudio-devdiv-c2s.msedge.net,0.5,false,264.368015,0,0,0,false,0.3333333333333333,23 hours ago,false,4,30582,"443:tcp:ssl",""
Low,192.168.2.77,::,targetednotifications-tm.trafficmanager.net,0.5,false,402.015905,0,0,0,false,0.3333333333333333,23 hours ago,false,4,27006,"443:tcp:ssl",""
Low,192.168.2.77,::,download.visualstudio.microsoft.com,0.5,false,400.350563,0,0,0,false,0.3333333333333333,23 hours ago,false,4,32916,"443:tcp:ssl",""
None,192.168.2.82,::,1d.tlu.dl.delivery.mp.microsoft.com,0.376,false,601.8591140000001,0,0,0,false,0.3333333333333333,4 hours ago,false,30,83519706,"80:tcp:http","mime_type_mismatch:8"
None,192.168.2.79,::,download.windowsupdate.com,0.309,false,109.664997,0,0,0,false,0.42857142857142855,19 hours ago,false,4,2374552,"80:tcp:http","rare_signature:Windows-Update-Agent/1307.2407.15032.0 Client-Protocol/2.80"
None,192.168.2.77,::,arc.msn.com,0.258,false,1.7649920000000003,0,0,0,false,0.3333333333333333,22 hours ago,false,4,48132,"443:tcp:ssl","rare_signature:344415fac4f5b6d6aa3dcd1380cec9f2"
None,192.168.2.77,::,www.bing.com,0.251,false,180.669639,0,0,0,false,0.3333333333333333,7 hours ago,false,4,38229,"443:tcp:ssl","rare_signature:3a8c6afbe9f3c7afb0548309a550b6f7"
None,192.168.2.77,::,settings-win.data.microsoft.com,0.572,false,8.143959,0,0,0,false,0.6666666666666666,8 hours ago,false,11,76133,"443:tcp:ssl",""
None,192.168.2.77,::,az667904.vo.msecnd.net,0.498,false,437.70705699999996,0,0,0,false,0.3333333333333333,23 hours ago,false,4,69356,"443:tcp:ssl",""
None,192.168.2.77,::,az700632.vo.msecnd.net,0.471,false,1101.393857,0,0,0,false,0.3333333333333333,23 hours ago,false,11,91666,"443:tcp:ssl",""
None,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.425,false,290.409468,0,0,0,false,0.3333333333333333,23 hours ago,false,4,21980,"443:tcp:ssl",""
None,192.168.2.79,::,geo.prod.do.dsp.mp.microsoft.com,0.424,false,1.64699,0,0,0,false,0.42857142857142855,21 hours ago,false,4,18954,"443:tcp:ssl",""
None,192.168.2.79,::,kv801.prod.do.dsp.mp.microsoft.com,0.424,false,432.255402,0,0,0,false,0.42857142857142855,21 hours ago,false,4,36460,"443:tcp:ssl",""
None,192.168.2.77,::,c.pki.goog,0.382,false,240.174024,0,0,0,false,0.3333333333333333,22 hours ago,false,4,3395,"80:tcp:http",""
None,192.168.2.82,204.79.197.200,,0.375,false,239.81160500000001,0,0,0,false,0.16666666666666666,19 hours ago,false,4,7728,"icmp:8/0",""
None,192.168.2.79,23.52.161.254,,0.374,false,584.160368,0,0,0,false,0.3333333333333333,21 hours ago,false,5,56018,"443:tcp:ssl",""
None,192.168.2.77,::,g.bing.com,0.347,false,9.469790999999999,0,0,0,false,0.3333333333333333,23 hours ago,false,4,43727,"443:tcp:ssl",""
None,192.168.2.82,146.75.82.172,,0.345,false,276.538916,0,0,0,false,0.16666666666666666,6 hours ago,false,5,6526,"80:tcp:http,icmp:8/0",""
None,192.168.2.77,::,g.live.com,0.333,false,363.656701,0,0,0,false,0.3333333333333333,23 hours ago,false,4,34924,"443:tcp:ssl",""
None,192.168.2.77,::,oneclient.sfx.ms,0.331,false,439.49624,0,0,0,false,0.3333333333333333,23 hours ago,false,4,387637,"443:tcp:ssl",""
None,192.168.2.79,::,cp801.prod.do.dsp.mp.microsoft.com,0.299,false,559.258304,0,0,0,false,0.42857142857142855,21 hours ago,false,5,54517,"443:tcp:ssl",""
None,192.168.2.77,20.75.60.91,,0.289,false,61.436009999999996,0,0,0,false,0.16666666666666666,23 hours ago,false,4,46074,"443:tcp:ssl",""
None,192.168.2.77,184.150.49.115,,0.266,false,183.08955699999999,0,0,0,false,0.2857142857142857,13 hours ago,false,4,3796,"137:udp:dns,80:tcp:http",""
None,192.168.2.82,72.21.81.240,,0.258,false,216.218194,0,0,0,false,0.3333333333333333,20 hours ago,false,4,4894,"80:tcp:http,icmp:8/0",""
None,192.168.2.77,204.79.197.237,,0.252,false,12.280011,0,0,0,false,0.16666666666666666,23 hours ago,false,4,33207,"137:udp:dns,443:tcp:ssl",""
None,192.168.2.77,13.107.42.16,,0.252,false,754.770329,0,0,0,false,0.42857142857142855,18 hours ago,false,9,74000,"137:udp:dns,443:tcp:ssl,443:udp:",""
None,192.168.2.77,::,config.edge.skype.com,0.205,false,499.206281,0,0,0,false,0.6666666666666666,7 hours ago,false,5,51574,"443:tcp:ssl","rare_signature:9546a89980eba858a48201f83cba5c4f"
None,192.168.2.82,146.75.94.172,,0.189,false,340.560246,0,0,0,false,0.3333333333333333,22 hours ago,false,6,1289907,"80:tcp:http",""
None,192.168.2.82,151.101.46.172,,0.171,false,333.484658,0,0,0,false,0.16666666666666666,6 hours ago,false,10,19535259,"80:tcp:http,icmp:8/0",""
None,192.168.2.79,::,login.live.com,0.415,false,1.076004,0,0,0,false,0.5714285714285714,21 hours ago,false,4,88622,"443:tcp:ssl",""
None,192.168.2.82,::,login.live.com,0.376,false,1.474035,0,0,0,false,0.5714285714285714,21 hours ago,false,4,88032,"443:tcp:ssl",""
None,192.168.2.79,::,fe3cr.delivery.mp.microsoft.com,0.374,false,45.711641,0,0,0,false,0.6666666666666666,21 hours ago,false,9,399161,"443:tcp:ssl",""
None,192.168.2.82,::,fe3cr.delivery.mp.microsoft.com,0.329,false,23.786485000000003,0,0,0,false,0.6666666666666666,8 hours ago,false,13,497495,"443:tcp:ssl",""
None,192.168.2.77,::,login.live.com,0.321,false,1.144728,0,0,0,false,0.6666666666666666,22 hours ago,false,4,89640,"443:tcp:ssl",""
None,192.168.2.79,::,1d.tlu.dl.delivery.mp.microsoft.com,0.282,false,261.743794,0,0,0,false,0.5,21 hours ago,false,16,30212299,"80:tcp:http",""
None,192.168.2.79,184.150.49.33,,0.277,false,283.858361,0,0,0,false,0.5,23 hours ago,false,4,5703,"80:tcp:http",""
None,192.168.2.77,::,ecs.office.com,0.247,false,247.04399099999998,0,0,0,false,0.5714285714285714,21 hours ago,false,4,33248,"443:tcp:ssl",""
None,192.168.2.82,::,cp801.prod.do.dsp.mp.microsoft.com,0.206,false,537.4426100000001,0,0,0,false,0.5,21 hours ago,false,4,50596,"443:tcp:ssl",""
