Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.77,::,143.198.3.13,1,false,337.34390900000005,0,0,0,false,0.2,1 hour ago,false,238,275346,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,58.223617000000004,0,0,0,false,0.4,1 hour ago,false,516,621424,"80:tcp:http","rare_signature:Go-http-client/1.1"
High,192.168.2.19,1.1.1.1,,1,false,4.662400000000002,0,0,0,false,0.2,2 hours ago,false,984,513648,"53:udp:dns",""
High,192.168.2.77,52.226.139.121,,0,false,32585.965286,0.6525828511944444,0,0,false,0.2,9 hours ago,false,0,47544,"443:tcp:ssl",""
High,192.168.2.19,::,www.expressapisv2.net,0.802,false,4.253836,0,0,0,false,0.4,1 hour ago,false,36,713021,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
None,192.168.2.77,::,v10.events.data.microsoft.com,0.5,false,2.342313,0,0,0,false,0.8,1 hour ago,false,4,35974,"443:tcp:ssl",""
None,192.168.2.77,207.164.234.193,,0.385,false,0.259945,0,0,0,false,0.2,1 hour ago,false,8,1477,"icmp:3/3,53:udp:dns",""
None,192.168.2.77,::,array801.prod.do.dsp.mp.microsoft.com,0.357,false,480.315741,0,0,0,false,0.4,1 hour ago,false,5,26968,"443:tcp:ssl",""
None,192.168.2.77,204.79.197.239,,0.357,false,498.11297,0,0,0,false,0.2,2 hours ago,false,4,40182,"443:tcp:ssl",""
None,192.168.2.19,64.23.195.234,,0.245,false,11.708737000000001,0,0,0,false,0.4,1 hour ago,false,6,933604,"22:tcp:ssh",""
None,192.168.2.82,::,v10.events.data.microsoft.com,0.379,false,3.7566810000000004,0,0,0,false,0.8,1 hour ago,false,5,42084,"443:tcp:ssl",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.366,false,2.375567,0,0,0,false,0.8,1 hour ago,false,4,35236,"443:tcp:ssl",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.328,false,427.682832,0,0,0,false,0.6,1 hour ago,false,6,60305,"443:tcp:ssl",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.273,false,428.29947500000003,0,0,0,false,0.6,1 hour ago,false,6,58882,"443:tcp:ssl",""
