Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,647.186112,0,0,0,false,0.2857142857142857,17 hours ago,false,4613,5567977,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,app.slack.com,0.973,false,3889.5913029999997,0.2053628019074074,0,0,false,0.2857142857142857,17 hours ago,false,18,121014,"443:tcp:ssl","rare_signature:5e6f8acb3c96b2e3dfd0a1eef1a98bf3"
High,192.168.2.19,185.125.190.58,,1,false,2.475701,0,0,0,false,0.14285714285714285,17 hours ago,false,31,7068,"123:udp:ntp",""
High,192.168.2.19,1.1.1.1,,1,false,44.738182,0,0,0,false,0.14285714285714285,17 hours ago,false,8856,4622832,"53:udp:dns",""
High,192.168.2.77,::,weathersync.cloud,0.995,false,2135.7008029999997,0,0,0,false,0.14285714285714285,17 hours ago,false,1221,1383972,"80:tcp:http",""
High,192.168.2.77,::,timeserversync.com,0.995,false,2139.4415050000002,0,0,0,false,0.14285714285714285,17 hours ago,false,1219,1383087,"80:tcp:http",""
High,192.168.2.19,::,www.expressapisv2.net,0.828,false,38.254959,0,0,0,false,0.2857142857142857,17 hours ago,false,324,7842869,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.77,::,edge.microsoft.com,0.815,false,3561.3557839999994,0,0,0,false,0.2857142857142857,17 hours ago,false,28,359194,"443:tcp:ssl","rare_signature:b194e8262df3a7e572e15e97e747e505"
High,192.168.2.77,::,v10.events.data.microsoft.com,0.997,false,18.457334000000003,0,0,0,false,0.5714285714285714,17 hours ago,false,41,335371,"443:tcp:ssl",""
High,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.912,false,5651.941274000001,0.2379989124814815,0,0,false,0.2857142857142857,17 hours ago,false,52,281181,"443:tcp:ssl",""
High,192.168.2.79,::,ecs.office.com,0.987,false,1293.8636459999998,0,0,0,false,0.5714285714285714,17 hours ago,false,22,227579,"443:tcp:ssl",""
High,192.168.2.82,::,ecs.office.com,0.986,false,1225.7040419999996,0,0,0,false,0.5714285714285714,17 hours ago,false,18,174733,"443:tcp:ssl",""
Medium,192.168.2.77,64.23.195.234,,0,false,25211.085431,0.5501539643194444,0,0,false,0.4,1 day ago,false,0,7252244,"9200:tcp:ssl",""
Medium,192.168.2.82,52.226.139.185,,0,false,25200.260029,0.5500036115138889,0,0,false,0.2,1 day ago,false,0,24074,"443:tcp:ssl",""
