Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,60.307926,0,0,0,false,0.4,1 hour ago,false,516,620324,"80:tcp:http","rare_signature:Go-http-client/1.1"
High,192.168.2.77,::,143.198.3.13,0.898,false,221.02556700000002,0,0,0,false,0.2,1 hour ago,false,26,30342,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
High,192.168.2.19,1.1.1.1,,0.964,false,4.895128999999997,0,0,0,false,0.2,1 hour ago,false,984,513648,"53:udp:dns",""
High,192.168.2.19,::,www.expressapisv2.net,0.782,false,4.287447,0,0,0,false,0.4,1 hour ago,false,36,949693,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
Medium,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.791,false,1269.80228,0,0,0,false,0.4,1 hour ago,false,14,75900,"443:tcp:ssl",""
Low,192.168.2.77,64.23.195.234,,0.381,false,7240.070493,0.26740871283333334,0,0,false,0.4,2 hours ago,false,11,1653568,"9200:tcp:ssl",""
Low,192.168.2.79,::,ecs.office.com,0.671,false,684.8907690000001,0,0,0,false,0.6,1 hour ago,false,10,96644,"443:tcp:ssl",""
Low,192.168.2.19,185.125.190.58,,0.5,false,0.319741,0,0,0,false,0.2,1 hour ago,false,4,912,"123:udp:ntp",""
None,192.168.2.82,::,ecs.office.com,0.546,false,683.2701979999999,0,0,0,false,0.6,1 hour ago,false,10,82937,"443:tcp:ssl",""
None,192.168.2.82,151.101.126.172,,0.298,false,176.083638,0,0,0,false,0.4,1 hour ago,false,4,5228,"80:tcp:http,icmp:8/0",""
None,192.168.2.19,64.23.195.234,,0.183,false,11.415643,0,0,0,false,0.4,1 hour ago,false,6,822984,"22:tcp:ssh",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.46,false,2.08244,0,0,0,false,0.8,1 hour ago,false,4,37433,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.437,false,7.16537,0,0,0,false,0.8,1 hour ago,false,7,115778,"443:tcp:ssl",""
None,192.168.2.77,::,v10.events.data.microsoft.com,0.38,false,2.352994,0,0,0,false,0.8,1 hour ago,false,6,47898,"443:tcp:ssl",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.375,false,422.88066200000003,0,0,0,false,0.6,1 hour ago,false,7,68946,"443:tcp:ssl",""
None,192.168.2.79,::,settings-win.data.microsoft.com,0.311,false,1.205842,0,0,0,false,0.8,1 hour ago,false,4,31851,"443:tcp:ssl",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.293,false,415.521396,0,0,0,false,0.6,1 hour ago,false,7,68906,"443:tcp:ssl",""
None,192.168.2.82,::,v10.events.data.microsoft.com,0.267,false,2.440461,0,0,0,false,0.8,1 hour ago,false,4,36757,"443:tcp:ssl",""
