Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,561.280224,0,0,0,false,0.3333333333333333,18 hours ago,false,4897,5896900,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,app.slack.com,0.932,false,4071.0116870000006,0.20872243864814816,0,0,false,0.3333333333333333,18 hours ago,false,19,127989,"443:tcp:ssl","rare_signature:d75a27e875c45961548bce65dc5be1ba"
High,192.168.2.19,1.1.1.1,,1,false,44.90126,0,0,0,false,0.16666666666666666,18 hours ago,false,9346,4878612,"53:udp:dns",""
High,192.168.2.19,185.125.190.58,,1,false,2.716581,0,0,0,false,0.16666666666666666,18 hours ago,false,34,7752,"123:udp:ntp",""
High,192.168.2.77,::,143.198.3.13,0.917,false,2233.4869249999992,0,0,0,false,0.16666666666666666,18 hours ago,false,4552,5267824,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
High,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.96,false,3315.2264080000004,0,0,0,false,0.3333333333333333,18 hours ago,false,34,184403,"443:tcp:ssl",""
High,192.168.2.77,::,edge.microsoft.com,0.867,false,3913.4950529999996,0.20580546394444443,0,0,false,0.3333333333333333,18 hours ago,false,31,372853,"443:tcp:ssl","rare_signature:0505da4d6f17cdf0b3bb3d9d6fea8f56"
High,192.168.2.77,::,c.pki.goog,0.94,false,917.679589,0,0,0,false,0.3333333333333333,17 hours ago,false,15,12731,"80:tcp:http",""
High,192.168.2.19,::,www.expressapisv2.net,0.828,false,40.003764999999994,0,0,0,false,0.3333333333333333,18 hours ago,false,342,8211144,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.79,::,ecs.office.com,0.984,false,1431.3069139999998,0,0,0,false,0.6666666666666666,18 hours ago,false,25,237068,"443:tcp:ssl",""
Medium,192.168.2.82,::,ecs.office.com,0.899,false,1306.3893209999999,0,0,0,false,0.6666666666666666,18 hours ago,false,19,185432,"443:tcp:ssl","rare_signature:258a5a1e95b8a911872bae9081526644"
Medium,192.168.2.77,52.226.139.185,,0,false,21826.302198,0.5031430860833334,0,0,false,0.2,1 day ago,false,0,33836,"443:tcp:ssl",""
Medium,192.168.2.77,64.23.195.234,,0,false,21603.53148,0.5000490483333333,0,0,false,0.4,1 day ago,false,0,9377193,"9200:tcp:ssl",""
Medium,192.168.2.77,::,v10.events.data.microsoft.com,0.921,false,34.610962,0,0,0,false,0.6666666666666666,18 hours ago,false,44,351974,"443:tcp:ssl",""
