Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
High,192.168.2.77,64.23.195.234,,0,false,111834.73250700001,0.8,0,0,false,0.4,1 day ago,false,1,35508923,"9200:tcp:ssl",""
Low,192.168.2.19,::,connectivity-check.ubuntu.com,0.5,false,55.776388,0,0,0,false,0.4,1 hour ago,false,516,620004,"80:tcp:http","rare_signature:Go-http-client/1.1"
Low,192.168.2.77,::,143.198.3.13,0.496,false,96.10588000000001,0,0,0,false,0.2,1 hour ago,false,227,262587,"80:tcp:http","mime_type_mismatch:1,rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
Low,192.168.2.77,52.226.139.121,,0,false,3780.268751,0.20333831020370371,0,0,false,0.2,2 hours ago,false,0,12940,"443:tcp:ssl",""
Low,192.168.2.19,185.125.190.58,,0.5,false,0.319004,0,0,0,false,0.2,1 hour ago,false,4,912,"123:udp:ntp",""
Low,192.168.2.19,1.1.1.1,,0.5,false,4.8388539999999995,0,0,0,false,0.2,1 hour ago,false,982,512604,"53:udp:dns",""
None,192.168.2.19,::,www.expressapisv2.net,0.329,false,4.334134,0,0,0,false,0.4,1 hour ago,false,36,953115,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
None,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.432,false,501.069636,0,0,0,false,0.4,1 hour ago,false,4,21495,"443:tcp:ssl",""
None,192.168.2.19,64.23.195.234,,0.184,false,11.509742,0,0,0,false,0.4,1 hour ago,false,6,919628,"22:tcp:ssh",""
None,192.168.2.77,::,v10.events.data.microsoft.com,0.492,false,2.362894,0,0,0,false,0.8,1 hour ago,false,4,31949,"443:tcp:ssl",""
None,192.168.2.82,::,ctldl.windowsupdate.com,0.469,false,240.160841,0,0,0,false,0.8,1 hour ago,false,4,3908,"80:tcp:http",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.359,false,3.468876,0,0,0,false,0.8,1 hour ago,false,5,41671,"443:tcp:ssl",""
None,192.168.2.82,::,v10.events.data.microsoft.com,0.323,false,2.75275,0,0,0,false,0.8,1 hour ago,false,5,46629,"443:tcp:ssl",""
None,192.168.2.79,::,settings-win.data.microsoft.com,0.316,false,5.109822,0,0,0,false,0.8,1 hour ago,false,7,45660,"443:tcp:ssl",""
None,192.168.2.77,::,ctldl.windowsupdate.com,0.304,false,246.25250400000002,0,0,0,false,0.8,1 hour ago,false,4,5050,"80:tcp:http",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.29,false,415.077805,0,0,0,false,0.6,1 hour ago,false,8,78233,"443:tcp:ssl",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.276,false,422.362382,0,0,0,false,0.6,1 hour ago,false,7,69024,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.226,false,4.562906,0,0,0,false,0.8,1 hour ago,false,6,42474,"443:tcp:ssl",""
