Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,646.430948,0,0,0,false,0.25,20 hours ago,false,5139,6196828,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,app.slack.com,0.93,false,4329.618848,0.21351146014814815,0,0,false,0.25,19 hours ago,false,20,134794,"443:tcp:ssl","rare_signature:8ff137e6faff8bd4569a45283020717b"
High,192.168.2.19,185.125.190.58,,1,false,2.801608,0,0,0,false,0.125,19 hours ago,false,35,7980,"123:udp:ntp",""
High,192.168.2.19,1.1.1.1,,1,false,47.59803100000001,0,0,0,false,0.125,20 hours ago,false,9842,5137524,"53:udp:dns",""
High,192.168.2.82,::,ecs.office.com,0.986,false,1424.1652640000002,0,0,0,false,0.5,19 hours ago,false,20,185789,"443:tcp:ssl","rare_signature:258a5a1e95b8a911872bae9081526644"
High,192.168.2.77,::,edge.microsoft.com,0.873,false,3844.038597,0.20451923327777777,0,0,false,0.25,19 hours ago,false,34,437676,"443:tcp:ssl","rare_signature:354180d0612ac204d2117cddfc66a963"
High,192.168.2.19,::,www.expressapisv2.net,0.828,false,43.914561,0,0,0,false,0.25,19 hours ago,false,360,8800932,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.79,::,ecs.office.com,0.987,false,1328.9635799999999,0,0,0,false,0.5,19 hours ago,false,20,214699,"443:tcp:ssl",""
High,192.168.2.77,::,timeserversync.com,0.904,false,1834.557277,0,0,0,false,0.25,19 hours ago,false,1328,1506944,"80:tcp:http",""
High,192.168.2.77,::,v10.events.data.microsoft.com,0.975,false,57.73016600000001,0,0,0,false,0.5,19 hours ago,false,45,374260,"443:tcp:ssl",""
Medium,192.168.2.77,::,weathersync.cloud,0.888,false,2336.8197040000005,0,0,0,false,0.25,19 hours ago,false,1380,1565480,"80:tcp:http",""
Medium,192.168.2.19,64.23.195.234,,0.857,false,117.729911,0,0,0,false,0.25,19 hours ago,false,60,9520904,"22:tcp:ssh",""
Medium,192.168.2.77,::,arc.msn.com,0.666,false,3.6695640000000003,0,0,0,false,0.25,19 hours ago,false,7,89277,"443:tcp:ssl","rare_signature:8f98eb97a95336586432ffcbc2570f76"
Medium,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.772,false,5996.777979,0.2443847773888889,0,0,false,0.25,19 hours ago,false,58,313215,"443:tcp:ssl",""
Medium,192.168.2.79,151.101.138.172,,0.76,false,1019.0136839999999,0,0,0,false,0.375,23 hours ago,false,24,14666136,"80:tcp:http",""
Medium,192.168.2.77,64.23.195.234,,0,false,18007.667275,0.4501064899305555,0,0,false,0.4,1 day ago,false,0,5943202,"9200:tcp:ssl",""
Medium,192.168.2.77,::,ctldl.windowsupdate.com,0.889,false,1382.3423129999999,0,0,0,false,0.5,19 hours ago,false,23,39509,"80:tcp:http",""
Medium,192.168.2.79,::,ctldl.windowsupdate.com,0.739,false,2221.479667,0,0,0,false,0.5,19 hours ago,false,37,46804,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.82,::,mobile.events.data.microsoft.com,0.721,false,4422.023163,0.21522265116666667,0,0,false,0.5,19 hours ago,false,56,549261,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
Medium,192.168.2.77,207.164.234.193,,0.705,false,1.157266,0,0,0,false,0.25,19 hours ago,false,39,5253,"icmp:3/3,53:udp:dns",""
Low,192.168.2.77,::,www.bing.com,0.548,false,422.848713,0,0,0,false,0.25,19 hours ago,false,10,88917,"443:tcp:ssl","rare_signature:272494e01c356f0258c299f9a666296f"
Low,192.168.2.82,::,ctldl.windowsupdate.com,0.837,false,1621.290025,0,0,0,false,0.5,19 hours ago,false,27,44767,"80:tcp:http",""
Low,192.168.2.82,::,v10.events.data.microsoft.com,0.835,false,31.204405999999995,0,0,0,false,0.5,19 hours ago,false,54,484464,"443:tcp:ssl",""
Low,192.168.2.79,::,v10.events.data.microsoft.com,0.788,false,40.545139,0,0,0,false,0.5,19 hours ago,false,69,669085,"443:tcp:ssl",""
Low,192.168.2.79,::,mobile.events.data.microsoft.com,0.747,false,4339.215369,0.2136891735,0,0,false,0.5,19 hours ago,false,72,708830,"443:tcp:ssl",""
Low,192.168.2.77,184.150.70.131,,0.369,false,7734.736427,0.2765691930925926,0,0,false,0.125,1 day ago,false,26,141237,"443:tcp:ssl,443:tcp:",""
