Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
High,192.168.2.79,52.226.139.121,,0,false,75610.867976,0.8,0,0,false,0.2,21 hours ago,false,0,508350,"443:tcp:ssl",""
Low,192.168.2.19,::,connectivity-check.ubuntu.com,0.5,false,56.466081,0,0,0,false,0.4,1 hour ago,false,516,620720,"80:tcp:http","rare_signature:Go-http-client/1.1"
Low,192.168.2.19,1.1.1.1,,0.5,false,4.8232409999999994,0,0,0,false,0.2,1 hour ago,false,984,513648,"53:udp:dns",""
None,192.168.2.77,::,143.198.3.13,0.437,false,288.9178030000001,0,0,0,false,0.2,1 hour ago,false,461,533187,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
None,192.168.2.77,::,edge.microsoft.com,0.345,false,500.18909699999995,0,0,0,false,0.4,1 hour ago,false,4,34583,"443:tcp:ssl","rare_signature:469bbe97c40ceca6f1f3e35bc001eccc"
None,192.168.2.19,::,www.expressapisv2.net,0.329,false,4.282025000000001,0,0,0,false,0.4,1 hour ago,false,36,949506,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
None,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.396,false,547.312437,0,0,0,false,0.4,1 hour ago,false,5,27136,"443:tcp:ssl",""
None,192.168.2.79,::,ctldl.windowsupdate.com,0.376,false,240.201257,0,0,0,false,0.8,1 hour ago,false,4,4659,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.316,false,421.84903699999995,0,0,0,false,0.6,1 hour ago,false,7,67895,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
None,192.168.2.19,64.23.195.234,,0.183,false,11.654646,0,0,0,false,0.4,1 hour ago,false,6,982404,"22:tcp:ssh",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.483,false,4.310118,0,0,0,false,0.8,1 hour ago,false,4,34307,"443:tcp:ssl",""
None,192.168.2.82,::,ctldl.windowsupdate.com,0.408,false,240.36019100000001,0,0,0,false,0.8,1 hour ago,false,4,5092,"80:tcp:http",""
None,192.168.2.82,::,v10.events.data.microsoft.com,0.328,false,3.395591,0,0,0,false,0.8,1 hour ago,false,4,35068,"443:tcp:ssl",""
None,192.168.2.77,::,v10.events.data.microsoft.com,0.264,false,3.995794,0,0,0,false,0.8,1 hour ago,false,6,49424,"443:tcp:ssl",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.247,false,414.387421,0,0,0,false,0.6,1 hour ago,false,8,71706,"443:tcp:ssl",""
